date	time	sign	quote	hvol	dvol
80407	34260	1	41.49	0	100
80407	34260	2	41.42	0	100
80407	34260	3	41.3	0	500
80407	34260	4	41.25	0	300
80407	34260	5	41.2	0	300
80407	34260	6	41.19	0	100
80407	34260	7	41.15	0	100
80407	34260	8	41.02	0	12
80407	34260	9	41	0	1196
80407	34260	10	40.99	600	0
80407	34260	-1	41.63	400	0
80407	34260	-2	41.64	400	0
80407	34260	-3	41.65	0	980
80407	34260	-4	41.69	0	49
80407	34260	-5	41.7	0	50
80407	34260	-6	41.87	0	96
80407	34260	-7	41.92	0	13
80407	34260	-8	41.93	0	12
80407	34260	-9	41.99	0	20
80407	34260	-10	42	0	200
80407	34320	1	41.42	0	100
80407	34320	2	41.31	0	100
80407	34320	3	41.3	0	200
80407	34320	4	41.25	0	300
80407	34320	5	41.2	0	300
80407	34320	6	41.19	0	100
80407	34320	7	41.15	0	100
80407	34320	8	41.02	0	1212
80407	34320	9	41	0	720
80407	34320	10	40.99	600	0
80407	34320	-1	41.5	200	0
80407	34320	-2	41.52	0	100
80407	34320	-3	41.64	0	100
80407	34320	-4	41.65	0	980
80407	34320	-5	41.69	0	49
80407	34320	-6	41.7	0	50
80407	34320	-7	41.82	0	96
80407	34320	-8	41.93	0	12
80407	34320	-9	41.99	0	20
80407	34320	-10	42	0	200
80407	34380	1	41.27	0	100
80407	34380	2	41.25	0	300
80407	34380	3	41.19	0	100
80407	34380	4	41.15	0	100
80407	34380	5	41.07	0	1200
80407	34380	6	41.02	0	1200
80407	34380	7	41	0	670
80407	34380	8	40.99	600	0
80407	34380	9	40.77	0	900
80407	34380	10	40.76	0	1200
80407	34380	-1	41.41	0	400
80407	34380	-2	41.42	0	100
80407	34380	-3	41.64	0	100
80407	34380	-4	41.65	0	980
80407	34380	-5	41.69	0	49
80407	34380	-6	41.7	0	50
80407	34380	-7	41.82	0	96
80407	34380	-8	41.87	0	1100
80407	34380	-9	41.99	0	20
80407	34380	-10	42	0	200
80407	34440	1	41.3	100	200
80407	34440	2	41.25	0	300
80407	34440	3	41.19	0	100
80407	34440	4	41.15	0	100
80407	34440	5	41.11	0	100
80407	34440	6	41	0	670
80407	34440	7	40.99	600	0
80407	34440	8	40.93	0	800
80407	34440	9	40.92	0	900
80407	34440	10	40.77	0	900
80407	34440	-1	41.48	0	4
80407	34440	-2	41.63	700	0
80407	34440	-3	41.64	0	900
80407	34440	-4	41.65	0	980
80407	34440	-5	41.69	0	49
80407	34440	-6	41.7	0	50
80407	34440	-7	41.79	0	700
80407	34440	-8	41.82	0	96
80407	34440	-9	41.87	0	1100
80407	34440	-10	41.99	0	20
80407	34500	1	41.4	0	100
80407	34500	2	41.34	200	0
80407	34500	3	41.32	0	1000
80407	34500	4	41.26	0	100
80407	34500	5	41.25	0	300
80407	34500	6	41.19	0	100
80407	34500	7	41.15	0	500
80407	34500	8	41	0	670
80407	34500	9	40.99	600	0
80407	34500	10	40.93	0	800
80407	34500	-1	41.54	0	100
80407	34500	-2	41.65	0	980
80407	34500	-3	41.69	0	49
80407	34500	-4	41.7	0	50
80407	34500	-5	41.79	0	1200
80407	34500	-6	41.82	0	796
80407	34500	-7	41.85	0	400
80407	34500	-8	41.87	0	1100
80407	34500	-9	41.99	0	20
80407	34500	-10	42	0	200
80407	34560	1	41.4	0	110
80407	34560	2	41.33	0	200
80407	34560	3	41.32	0	1000
80407	34560	4	41.27	0	100
80407	34560	5	41.25	0	300
80407	34560	6	41.19	0	100
80407	34560	7	41.15	0	100
80407	34560	8	41.13	0	200
80407	34560	9	41.12	0	300
80407	34560	10	41.03	0	300
80407	34560	-1	41.53	0	300
80407	34560	-2	41.54	100	100
80407	34560	-3	41.64	200	181
80407	34560	-4	41.65	0	980
80407	34560	-5	41.69	0	49
80407	34560	-6	41.7	0	50
80407	34560	-7	41.71	0	300
80407	34560	-8	41.79	0	500
80407	34560	-9	41.82	0	996
80407	34560	-10	41.87	0	1100
80407	34620	1	41.41	0	200
80407	34620	2	41.35	0	100
80407	34620	3	41.32	0	1000
80407	34620	4	41.27	0	100
80407	34620	5	41.25	0	300
80407	34620	6	41.19	0	100
80407	34620	7	41.15	0	100
80407	34620	8	41.14	0	300
80407	34620	9	41.03	0	800
80407	34620	10	41.01	500	400
80407	34620	-1	41.51	100	381
80407	34620	-2	41.52	0	100
80407	34620	-3	41.65	0	980
80407	34620	-4	41.69	0	49
80407	34620	-5	41.7	0	50
80407	34620	-6	41.71	0	300
80407	34620	-7	41.79	0	500
80407	34620	-8	41.82	0	996
80407	34620	-9	41.87	0	1100
80407	34620	-10	41.89	0	300
80407	34680	1	41.38	400	0
80407	34680	2	41.36	300	500
80407	34680	3	41.32	0	1000
80407	34680	4	41.25	0	300
80407	34680	5	41.22	0	100
80407	34680	6	41.19	0	100
80407	34680	7	41.15	0	100
80407	34680	8	41.14	0	200
80407	34680	9	41.04	0	400
80407	34680	10	41.03	0	500
80407	34680	-1	41.4	1000	0
80407	34680	-2	41.49	100	100
80407	34680	-3	41.51	0	100
80407	34680	-4	41.61	0	181
80407	34680	-5	41.65	0	980
80407	34680	-6	41.69	0	49
80407	34680	-7	41.7	0	50
80407	34680	-8	41.71	0	300
80407	34680	-9	41.79	0	500
80407	34680	-10	41.82	0	796
80407	34740	1	41.38	300	0
80407	34740	2	41.35	300	100
80407	34740	3	41.32	0	1000
80407	34740	4	41.3	0	100
80407	34740	5	41.25	0	300
80407	34740	6	41.22	0	100
80407	34740	7	41.19	0	100
80407	34740	8	41.15	0	400
80407	34740	9	41.07	0	400
80407	34740	10	41.04	0	400
80407	34740	-1	41.4	700	0
80407	34740	-2	41.43	300	0
80407	34740	-3	41.44	0	200
80407	34740	-4	41.45	0	381
80407	34740	-5	41.46	0	100
80407	34740	-6	41.51	100	100
80407	34740	-7	41.65	0	980
80407	34740	-8	41.69	0	49
80407	34740	-9	41.7	0	50
80407	34740	-10	41.71	0	300
80407	34800	1	41.32	0	519
80407	34800	2	41.26	0	100
80407	34800	3	41.25	0	300
80407	34800	4	41.19	0	100
80407	34800	5	41.18	0	100
80407	34800	6	41.15	0	500
80407	34800	7	41.04	0	400
