day	time	vol	price	buysell	ask	bid
1	34222.41	40	8.08	-1	8.12	8.08
1	34223.67	10	8.08	-1	8.12	8.07
1	34247.54	50	8.08	-1	8.09	8.06
1	34257.66	100	8.09	1	8.09	8.06
1	34257.66	50	8.08	1	8.09	8.06
1	34257.66	50	8.09	1	8.09	8.06
1	34257.68	10	8.07	-1	8.08	8.06
1	34257.68	690	8.06	-1	8.08	8.06
1	34271.89	610	8.06	-1	8.08	8.06
1	34273.16	11	8.05	-1	8.08	8.05
1	34281.43	100	8.06	1	8.07	8.05
1	34283.54	239	8.05	-1	8.05	8.02
1	34284.22	400	8.02	-1	8.05	8.02
1	34286.71	152	8.02	-1	8.03	8.02
1	34286.71	300	8.02	-1	8.03	8.02
1	34287.35	100	7.98	-1	8.01	7.98
1	34287.35	100	7.99	-1	8.01	7.98
1	34287.35	100	8	-1	8.01	7.98
1	34287.35	200	7.98	-1	8.01	7.98
1	34288.07	100	7.96	-1	7.99	7.96
1	34288.07	100	7.96	-1	7.99	7.96
1	34288.07	100	7.97	-1	7.99	7.96
1	34288.07	100	7.98	-1	7.99	7.96
1	34288.08	65	7.96	-1	7.99	7.96
1	34289.85	100	7.96	-1	7.94	7.93
1	34289.93	100	7.94	1	7.94	7.93
1	34289.93	100	7.94	1	7.94	7.93
1	34289.93	300	7.94	1	7.94	7.93
1	34289.93	100	7.94	1	7.94	7.93
1	34289.93	300	7.94	1	7.94	7.93
1	34289.93	100	7.94	1	7.94	7.93
1	34289.95	100	7.94	1	7.94	7.93
1	34289.96	100	7.94	1	7.94	7.93
1	34289.96	100	7.94	1	7.94	7.93
1	34290.47	100	7.94	1	7.94	7.93
1	34290.47	100	7.94	1	7.94	7.93
1	34290.55	100	7.93	-1	7.95	7.93
1	34290.55	100	7.93	-1	7.95	7.93
1	34290.55	100	7.93	-1	7.95	7.93
1	34290.55	100	7.935	-1	7.95	7.93
1	34292.25	100	7.93	-1	7.94	7.91
1	34292.26	200	7.93	1	7.93	7.9
1	34294.55	100	7.9	-1	7.93	7.9
1	34294.55	100	7.915	-1	7.93	7.9
1	34297.43	100	7.905	-1	7.92	7.89
1	34298.3	100	7.9	1	7.9	7.89
1	34298.3	100	7.9	1	7.9	7.89
1	34298.33	100	7.9	1	7.91	7.89
1	34300.83	100	7.95	1	7.96	7.9
1	34300.83	100	7.95	1	7.96	7.9
1	34313.09	100	7.96	1	8.01	7.95
1	34313.09	100	7.96	1	8.01	7.95
1	34313.22	100	7.96	1	8	7.95
1	34358.71	100	7.99	1	7.99	7.97
1	34362.43	100	7.99	1	8	7.99
1	34362.43	100	8	1	8	7.99
1	34362.44	100	8	-1	8	7.99
1	34362.46	100	8	-1	8.05	8
1	34362.46	100	8	-1	8.05	8
1	34362.46	400	8	-1	8.05	8
1	34362.46	100	8.04	1	8.05	8
1	34366.58	100	8.02	1	8.03	8.02
1	34375.25	100	8	-1	8.03	8
1	34457.99	100	8	1	8	7.99
1	34457.99	100	8	1	8	7.99
1	34458.01	200	8	-1	8.03	8
1	34458.03	100	8	1	8.03	8
1	34493.58	100	8.005	1	8.01	8
1	34493.58	100	8.01	1	8.01	8
1	34493.58	100	8.01	1	8.01	8
1	34493.58	100	8.01	1	8.01	8
1	34493.58	100	8.01	1	8.01	8
1	34557.66	100	8.02	1	8.02	8.01
1	34557.66	100	8.02	1	8.02	8.01
1	34557.66	100	8.02	1	8.02	8.01
1	34557.66	100	8.02	1	8.02	8.01
1	34615.54	100	8.02	1	8.02	8.01
1	34615.58	100	8.05	1	8.05	8.04
1	34615.59	100	8.04	-1	8.05	8.04
1	34615.59	100	8.04	1	8.05	8.04
1	34615.59	300	8.05	1	8.05	8.04
1	34755.65	200	8.05	-1	8.05	8.04
1	34755.65	200	8.05	-1	8.05	8.04
1	34755.65	200	8.05	-1	8.05	8.04
1	34795.59	100	8.05	1	8.05	8.04
1	34802.38	100	8.04	-1	8.05	8.02
1	34802.38	100	8.04	-1	8.05	8.02
1	34802.38	200	8.04	-1	8.05	8.02
1	34802.73	100	8.04	1	8.05	8.01
1	34805.57	100	8.02	-1	8.04	8.01
1	34808.73	100	8.01	-1	8.03	8.01
1	34808.73	100	8.01	-1	8.03	8.01
1	34808.73	100	8.01	-1	8.03	8.01
1	34808.73	100	8.01	-1	8.03	8.01
1	34808.73	200	8.01	-1	8.03	8.01
1	34808.73	200	8.01	-1	8.03	8.01
1	34877.02	100	8.01	1	8.02	8
1	34887.04	100	8.02	1	8.02	8
1	34887.04	100	8.02	1	8.02	8
1	34900.25	100	8.02	1	8.02	8.01
1	34900.63	100	8.01	-1	8.02	8.01
1	34900.63	71	8.01	-1	8.02	8.01
1	34903	29	8.02	1	8.03	8.02
1	34903.13	71	8.02	1	8.03	8.02
1	34903.99	100	8.02	-1	8.03	8.02
1	34903.99	29	8.02	-1	8.03	8.02
1	34904.02	100	8.02	1	8.03	8.02
1	34915.5	100	8.03	1	8.03	8.02
1	34917.78	100	8.03	1	8.03	8.02
1	34917.78	100	8.03	1	8.03	8.02
1	34917.78	100	8.03	1	8.03	8.02
1	34995.24	48	8.05	1	8.05	8.04
1	34995.53	52	8.05	1	8.06	8.05
1	35035.78	1	8.06	1	8.07	8.06
1	35035.78	99	8.06	1	8.07	8.06
1	35035.78	1	8.06	1	8.07	8.06
1	35035.79	100	8.06	-1	8.07	8.06
1	35035.86	100	8.06	1	8.07	8.06
1	35162.13	200	8.08	-1	8.1	8.07
1	35162.15	100	8.08	-1	8.1	8.07
1	35274.74	33	8.08	-1	8.1	8.08
1	35386.94	133	8.08	-1	8.1	8.08
1	35386.94	167	8.08	-1	8.1	8.08
1	35395.98	100	8.08	-1	8.09	8.08
1	35395.98	167	8.08	-1	8.09	8.08
1	35395.98	200	8.08	-1	8.09	8.08
1	35395.99	52	8.08	-1	8.09	8.08
1	35395.99	48	8.08	-1	8.09	8.08
1	35396	100	8.08	-1	8.09	8.08
1	35396.05	100	8.08	1	8.08	8.07
1	35435.4	30	8.08	1	8.09	8.06
1	35435.4	30	8.08	-1	8.09	8.06
1	35435.4	70	8.08	-1	8.09	8.06
1	35463.95	100	8.06	-1	8.09	8.05
1	35572.53	100	8.06	-1	8.07	8.05
1	35572.53	200	8.06	-1	8.07	8.05
1	35603.69	100	8.05	-1	8.06	8.05
1	35603.69	100	8.05	-1	8.06	8.05
1	35603.69	100	8.05	-1	8.06	8.05
1	35659.11	100	8.05	-1	8.07	8.05
1	35723.18	100	8.08	1	8.08	8.06
1	35723.18	23	8.08	1	8.08	8.06
1	35740.14	100	8.08	1	8.08	8.07
1	35742.94	100	8.08	1	8.09	8.08
1	35742.94	100	8.08	1	8.09	8.08
1	35787.34	100	8.07	-1	8.09	8.07
1	35787.34	100	8.07	-1	8.09	8.07
1	35787.34	200	8.07	-1	8.09	8.07
1	35787.36	100	8.07	-1	8.08	8.07
1	35834.79	100	8.07	-1	8.09	8.07
1	36050.09	200	8.06	-1	8.08	8.06
1	36050.1	100	8.05	-1	8.08	8.06
1	36050.1	30	8.05	-1	8.08	8.06
1	36050.11	30	8.05	-1	8.06	8.05
1	36050.11	70	8.05	-1	8.06	8.05
1	36052.4	100	8.05	-1	8.06	8.05
1	36052.4	100	8.05	-1	8.06	8.05
1	36052.43	100	8.05	-1	8.05	8.03
1	36052.43	200	8.05	-1	8.05	8.03
1	36052.43	100	8.04	1	8.05	8.03
1	36065.01	15	8.06	-1	8.06	8.05
1	36115.15	100	8.03	-1	8.04	8.03
1	36115.15	100	8.03	-1	8.04	8.03
1	36138.75	100	8.03	-1	8.04	8.03
1	36138.75	100	8.03	-1	8.04	8.03
1	36138.75	100	8.03	-1	8.04	8.03
1	36138.75	100	8.03	-1	8.04	8.03
1	36138.76	80	8.03	-1	8.03	8.02
1	36138.76	20	8.03	-1	8.03	8.02
1	36138.77	100	8.03	-1	8.03	8.02
1	36138.77	100	8.03	-1	8.03	8.02
1	36173.61	100	8.02	-1	8.04	8.02
1	36173.61	100	8.02	-1	8.04	8.02
1	36273.14	200	8.03	-1	8.04	8.02
1	36332.69	100	8.03	1	8.04	8.03
1	36427.05	100	8.03	-1	8.04	8.03
1	36427.05	100	8.03	-1	8.04	8.03
1	36427.05	100	8.03	-1	8.04	8.03
1	36430.46	100	8.04	1	8.04	8.03
1	36431.79	100	8.05	1	8.06	8.04
1	36569.21	30	8.04	-1	8.05	8.04
1	36570.2	30	8.05	1	8.05	8.04
1	36570.2	70	8.05	1	8.05	8.04
1	36639.57	100	8.04	-1	8.06	8.04
1	36639.57	100	8.04	-1	8.06	8.04
1	36639.57	200	8.04	-1	8.06	8.04
1	36656.38	100	8.04	-1	8.06	8.04
1	36656.38	100	8.04	-1	8.06	8.04
1	36656.38	100	8.04	-1	8.06	8.04
1	36658.27	100	8.05	-1	8.06	8.05
1	36658.27	100	8.05	1	8.06	8.05
1	36663.77	100	8.04	-1	8.06	8.04
1	36670.82	100	8.04	-1	8.06	8.04
1	36670.82	200	8.04	-1	8.06	8.04
1	36679.97	100	8.05	-1	8.06	8.05
1	36679.97	100	8.05	-1	8.06	8.05
1	36679.97	100	8.05	-1	8.06	8.05
1	36679.97	100	8.05	-1	8.06	8.05
1	36679.99	100	8.05	-1	8.05	8.04
1	36679.99	100	8.05	-1	8.05	8.04
1	36680.03	100	8.05	1	8.05	8.04
1	36680.46	100	8.05	-1	8.05	8.04
1	36680.46	100	8.05	1	8.05	8.04
1	36680.46	100	8.05	1	8.05	8.04
1	36680.46	100	8.05	1	8.05	8.04
1	36680.46	100	8.05	1	8.05	8.04
1	36680.47	100	8.05	-1	8.06	8.04
1	36737.5	100	8.05	1	8.05	8.04
1	36737.5	100	8.05	1	8.05	8.04
1	36737.5	85	8.05	-1	8.05	8.04
1	36737.5	15	8.05	-1	8.05	8.04
1	36737.5	85	8.05	-1	8.05	8.04
