date	time	sign	quote	hvol	dvol
80407	34260	1	23.9	0	502
80407	34260	2	23.15	2000	0
80407	34260	3	23.14	0	500
80407	34260	4	23.03	0	1800
80407	34260	5	22.84	0	4000
80407	34260	6	22.72	0	100
80407	34260	7	22.11	0	100
80407	34260	8	18.78	0	125
80407	34260	9	18.68	0	150
80407	34260	10	18.23	0	200
80407	34260	-1	23.94	600	0
80407	34260	-2	23.98	0	100
80407	34260	-3	24	0	801
80407	34260	-4	24.23	0	200
80407	34260	-5	24.4	0	140
80407	34260	-6	24.5	0	714
80407	34260	-7	24.51	0	200
80407	34260	-8	24.7	0	100
80407	34260	-9	24.84	0	200
80407	34260	-10	25	0	1600
80407	34320	1	23.9	0	502
80407	34320	2	23.15	2000	0
80407	34320	3	23.14	0	500
80407	34320	4	23.03	0	1800
80407	34320	5	22.84	0	4000
80407	34320	6	22.72	0	100
80407	34320	7	22.11	0	100
80407	34320	8	18.78	0	125
80407	34320	9	18.68	0	150
80407	34320	10	18.23	0	200
80407	34320	-1	23.94	286	0
80407	34320	-2	23.98	0	100
80407	34320	-3	24	0	801
80407	34320	-4	24.23	0	200
80407	34320	-5	24.4	0	140
80407	34320	-6	24.5	0	714
80407	34320	-7	24.51	0	200
80407	34320	-8	24.7	0	100
80407	34320	-9	24.84	0	200
80407	34320	-10	24.93	0	1800
80407	34380	1	23.91	100	0
80407	34380	2	23.9	0	502
80407	34380	3	23.89	100	100
80407	34380	4	23.15	2000	0
80407	34380	5	23.14	0	500
80407	34380	6	23.03	0	1800
80407	34380	7	22.95	0	100
80407	34380	8	22.84	0	4000
80407	34380	9	22.72	0	100
80407	34380	10	22.11	0	100
80407	34380	-1	23.95	17	0
80407	34380	-2	23.99	0	72
80407	34380	-3	24	0	801
80407	34380	-4	24.23	0	200
80407	34380	-5	24.5	0	714
80407	34380	-6	24.51	0	200
80407	34380	-7	24.7	0	100
80407	34380	-8	24.84	0	200
80407	34380	-9	24.93	0	1800
80407	34380	-10	24.95	0	100
80407	34440	1	23.92	0	100
80407	34440	2	23.9	0	502
80407	34440	3	23.89	100	100
80407	34440	4	23.15	2000	0
80407	34440	5	23.14	0	500
80407	34440	6	23.03	0	1800
80407	34440	7	22.95	0	100
80407	34440	8	22.84	0	4000
80407	34440	9	22.72	0	100
80407	34440	10	22.11	0	100
80407	34440	-1	23.96	17	0
80407	34440	-2	23.97	0	91
80407	34440	-3	23.99	0	72
80407	34440	-4	24	0	801
80407	34440	-5	24.23	0	200
80407	34440	-6	24.5	0	714
80407	34440	-7	24.51	0	200
80407	34440	-8	24.7	0	100
80407	34440	-9	24.84	0	200
80407	34440	-10	24.93	0	1800
80407	34500	1	23.93	0	100
80407	34500	2	23.9	0	502
80407	34500	3	23.89	100	100
80407	34500	4	23.03	0	1800
80407	34500	5	22.95	0	100
80407	34500	6	22.89	500	0
80407	34500	7	22.72	0	100
80407	34500	8	22.65	500	0
80407	34500	9	22.41	500	0
80407	34500	10	22.11	0	100
80407	34500	-1	23.96	300	0
80407	34500	-2	23.98	0	91
80407	34500	-3	24	0	801
80407	34500	-4	24.23	0	200
80407	34500	-5	24.5	0	714
80407	34500	-6	24.51	0	200
80407	34500	-7	24.7	0	100
80407	34500	-8	24.79	500	0
80407	34500	-9	24.84	0	200
80407	34500	-10	24.93	0	1800
80407	34560	1	23.9	0	502
80407	34560	2	23.89	100	100
80407	34560	3	23.03	0	1800
80407	34560	4	22.95	0	100
80407	34560	5	22.89	500	0
80407	34560	6	22.72	0	100
80407	34560	7	22.65	500	0
80407	34560	8	22.41	500	0
80407	34560	9	22.11	0	100
80407	34560	10	21.99	0	100
80407	34560	-1	23.97	600	0
80407	34560	-2	24	0	1064
80407	34560	-3	24.23	0	200
80407	34560	-4	24.5	0	714
80407	34560	-5	24.51	0	200
80407	34560	-6	24.7	0	100
80407	34560	-7	24.79	500	0
80407	34560	-8	24.84	0	200
80407	34560	-9	24.93	0	1800
80407	34560	-10	24.94	0	100
80407	34620	1	23.9	0	402
80407	34620	2	23.89	100	100
80407	34620	3	23.34	8000	0
80407	34620	4	23.03	0	1800
80407	34620	5	22.95	0	100
80407	34620	6	22.89	500	0
80407	34620	7	22.72	0	100
