date	time	sign	quote	hvol	dvol
80407	34260	1	13.25	0	1200
80407	34260	2	12.96	0	1800
80407	34260	3	12.5	0	193
80407	34260	4	12.35	0	4000
80407	34260	5	10.95	0	1
80407	34260	6	3	0	100
80407	34260	7	.01	0	1200
80407	34260	-1	14.35	0	1800
80407	34260	-2	14.94	0	4000
80407	34260	-3	16	0	92
80407	34260	-4	17.67	100	0
80407	34260	-5	21	0	120
80407	34260	-6	23	0	100
80407	34260	-7	28.2	0	50
80407	34260	-8	92.02	0	100
80407	34260	-9	1000	0	100
80407	34260	-10	9999	0	100
80407	34320	1	13.25	0	1200
80407	34320	2	12.96	0	1800
80407	34320	3	12.5	0	193
80407	34320	4	12.35	0	4000
80407	34320	5	10.95	0	1
80407	34320	6	3	0	100
80407	34320	7	.01	0	1200
80407	34320	-1	14.35	0	1800
80407	34320	-2	14.94	0	4000
80407	34320	-3	16	0	92
80407	34320	-4	17.67	100	0
80407	34320	-5	21	0	120
80407	34320	-6	23	0	100
80407	34320	-7	28.2	0	50
80407	34320	-8	92.02	0	100
80407	34320	-9	1000	0	100
80407	34320	-10	9999	0	100
80407	34380	1	13.65	200	0
80407	34380	2	13.63	300	100
80407	34380	3	13.26	0	300
80407	34380	4	13.25	0	1200
80407	34380	5	13.23	0	200
80407	34380	6	13.15	0	300
80407	34380	7	12.96	0	1900
80407	34380	8	12.57	0	100
80407	34380	9	12.46	0	4000
80407	34380	10	12.42	0	100
80407	34380	-1	13.71	0	100
80407	34380	-2	14.03	100	0
80407	34380	-3	14.06	0	300
80407	34380	-4	14.17	0	300
80407	34380	-5	14.26	0	100
80407	34380	-6	14.35	0	1800
80407	34380	-7	14.76	0	100
80407	34380	-8	14.81	0	100
80407	34380	-9	14.83	0	4000
80407	34380	-10	16	0	92
80407	34440	1	13.67	200	0
80407	34440	2	13.29	100	0
80407	34440	3	13.28	100	0
80407	34440	4	13.26	0	300
80407	34440	5	13.25	0	1200
80407	34440	6	13.23	0	200
80407	34440	7	13.15	0	300
80407	34440	8	12.96	0	1900
80407	34440	9	12.9	0	1000
80407	34440	10	12.57	0	100
80407	34440	-1	13.71	0	100
80407	34440	-2	14.06	0	300
80407	34440	-3	14.17	0	300
80407	34440	-4	14.26	0	100
80407	34440	-5	14.35	0	1800
80407	34440	-6	14.76	0	100
80407	34440	-7	14.83	0	4000
80407	34440	-8	14.95	0	1000
80407	34440	-9	15	0	1000
80407	34440	-10	16	0	8092
80407	34500	1	13.66	600	0
80407	34500	2	13.28	200	0
80407	34500	3	13.26	0	300
80407	34500	4	13.25	0	1200
80407	34500	5	13.23	0	200
80407	34500	6	13.15	0	300
80407	34500	7	13.1	0	1900
80407	34500	8	13.01	500	0
80407	34500	9	12.9	0	1000
80407	34500	10	12.57	0	100
80407	34500	-1	13.71	0	100
80407	34500	-2	14.06	0	300
80407	34500	-3	14.09	500	0
80407	34500	-4	14.17	0	300
80407	34500	-5	14.26	0	100
80407	34500	-6	14.35	0	1800
80407	34500	-7	14.76	0	100
80407	34500	-8	14.95	0	1000
80407	34500	-9	15	0	1000
80407	34500	-10	16	0	8092
80407	34560	1	13.63	400	0
80407	34560	2	13.62	200	0
80407	34560	3	13.28	200	0
80407	34560	4	13.26	0	300
80407	34560	5	13.25	0	1200
80407	34560	6	13.23	0	200
80407	34560	7	13.15	0	300
80407	34560	8	13.1	0	1900
80407	34560	9	13.01	500	0
80407	34560	10	12.9	0	1000
80407	34560	-1	13.66	0	100
80407	34560	-2	13.71	0	100
80407	34560	-3	14.06	0	300
80407	34560	-4	14.09	500	0
80407	34560	-5	14.17	0	300
