day	time	vol	price	buysell	ask	bid
1	34206.07	100	4.1	-1	4.17	4.11
1	34206.07	100	4.1	-1	4.17	4.11
1	34206.07	116	4.1	-1	4.17	4.11
1	34206.07	84	4.1	-1	4.17	4.11
1	34240.73	100	4.13	1	4.15	4.11
1	34280.28	100	4.11	-1	4.13	4.11
1	34280.28	100	4.11	-1	4.13	4.11
1	34280.28	600	4.11	-1	4.13	4.11
1	34280.55	100	4.11	-1	4.13	4.11
1	34280.66	91	4.11	-1	4.13	4.11
1	34283.25	24	4.11	-1	4.13	4.11
1	34338.98	100	4.11	-1	4.12	4.1
1	34398.09	100	4.1	-1	4.11	4.09
1	34514.71	100	4.1	-1	4.11	4.1
1	34514.71	100	4.1	-1	4.11	4.1
1	34514.71	100	4.1	-1	4.11	4.1
1	34514.72	100	4.1	-1	4.1	4.1
1	34514.74	100	4.1	-1	4.11	4.09
1	34514.74	100	4.1	-1	4.11	4.09
1	34514.74	100	4.1	-1	4.11	4.09
1	34514.74	198	4.1	-1	4.11	4.09
1	34514.84	100	4.1	1	4.1	4.09
1	34514.84	100	4.1	1	4.1	4.09
1	34514.84	100	4.1	-1	4.1	4.09
1	34514.84	300	4.1	-1	4.1	4.09
1	34515.22	18	4.1	1	4.1	4.09
1	34534.77	100	4.1	1	4.1	4.09
1	34541.63	16	4.1	1	4.1	4.09
1	34541.63	84	4.1	1	4.1	4.09
1	34541.63	216	4.1	1	4.1	4.09
1	34541.63	84	4.1	1	4.1	4.09
1	34541.64	84	4.1	1	4.1	4.09
1	34541.64	100	4.1	-1	4.1	4.09
1	34541.64	16	4.1	-1	4.1	4.09
1	34548.43	200	4.1	1	4.1	4.09
1	34772.11	100	4.1	1	4.1	4.09
1	34772.11	100	4.1	1	4.1	4.09
1	34805.25	100	4.1	1	4.1	4.09
1	34893.33	26	4.1	1	4.1	4.09
1	35122.53	100	4.1	-1	4.1	4.09
1	35247.32	100	4.1	1	4.1	4.09
1	35275.16	19	4.09	-1	4.1	4.09
1	35439.93	100	4.1	1	4.1	4.09
1	35508.98	19	4.09	-1	4.1	4.09
1	35508.98	81	4.09	-1	4.1	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	19	4.09	-1	4.09	4.09
1	35562.45	81	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.45	100	4.09	-1	4.09	4.09
1	35562.76	100	4.08	-1	4.09	4.08
1	35572.37	100	4.08	1	4.08	4.07
1	35704.38	100	4.08	1	4.08	4.07
1	35772.78	100	4.07	-1	4.07	4.07
1	35772.78	100	4.07	-1	4.07	4.07
1	35772.78	100	4.07	-1	4.07	4.07
1	35772.78	100	4.07	-1	4.07	4.07
1	35792.1	100	4.06	-1	4.07	4.06
1	35792.1	100	4.06	-1	4.07	4.06
1	35792.1	100	4.06	-1	4.07	4.06
1	35857.22	100	4.06	1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	100	4.05	-1	4.06	4.05
1	35883.93	200	4.05	-1	4.06	4.05
1	35883.93	376	4.05	-1	4.06	4.05
1	35883.93	800	4.05	-1	4.06	4.05
1	35885.57	100	4.04	-1	4.04	4.04
1	35885.57	100	4.04	-1	4.04	4.04
1	35885.57	600	4.04	-1	4.04	4.04
1	35885.58	200	4.03	-1	4.04	4.03
1	35887.73	100	4.02	-1	4.02	4.02
1	35887.73	100	4.02	-1	4.02	4.02
1	35887.73	100	4.02	-1	4.02	4.02
1	35887.96	100	4.02	1	4.03	4.02
1	35887.96	100	4.02	1	4.03	4.02
1	35887.96	100	4.02	1	4.03	4.02
1	35887.96	100	4.02	1	4.03	4.02
1	35887.96	292	4.02	1	4.03	4.02
1	35887.96	500	4.02	1	4.03	4.02
1	35887.97	100	4.03	1	4.03	4.02
1	35887.97	100	4.03	1	4.03	4.02
1	35901.47	100	4.03	1	4.04	4.03
1	35901.47	100	4.03	1	4.04	4.03
1	35907.77	100	4.05	1	4.05	4.04
1	36000.99	100	4.05	1	4.05	4.04
1	36003.71	100	4.04	-1	4.03	4.02
1	36003.71	100	4.04	-1	4.03	4.02
1	36003.73	100	4.02	-1	4.02	4.02
1	36003.75	100	4.02	1	4.02	4.02
1	36003.75	100	4.02	1	4.02	4.02
1	36003.75	100	4.02	1	4.02	4.02
1	36003.75	100	4.02	1	4.02	4.02
1	36003.75	100	4.02	1	4.02	4.02
1	36003.75	50	4.02	1	4.02	4.02
