day	time	bid	ask
1	33900.363	9.77	10.37
1	33960.483	9.76	10.37
1	33961.2	9.77	10.37
1	34021.33	9.76	10.37
1	34022.077	9.77	10.37
1	34146.793	9.77	10.37
1	34200.427	10.11	10.37
1	34205.36	10.11	10.37
1	34205.363	10.11	10.37
1	34205.373	10.12	10.37
1	34205.837	10.12	10.37
1	34205.98	10.12	10.37
1	34206.367	10.12	10.36
1	34218.96	10.13	10.36
1	34218.993	10.13	10.36
1	34219	10.13	10.37
1	34219.123	10.14	10.37
1	34219.177	10.14	10.36
1	34222.503	10.12	10.36
1	34228.9	10.12	10.37
1	34229.007	10.23	10.37
1	34237.98	10.23	10.36
1	34238.977	10.23	10.36
1	34238.977	10.23	10.36
1	34289.07	10.23	10.36
1	34289.077	10.23	10.36
1	34289.11	10.23	10.36
1	34300.097	10.23	10.36
1	34300.13	10.24	10.36
1	34368.16	10.24	10.36
1	34368.16	10.24	10.36
1	34368.583	10.24	10.36
1	34405.073	10.24	10.36
1	34405.197	10.24	10.36
1	34408.07	10.24	10.36
1	34457.54	10.25	10.36
1	34457.54	10.25	10.36
1	34457.54	10.25	10.36
1	34457.543	10.25	10.36
1	34457.623	10.26	10.36
1	34461.317	10.26	10.36
1	34462.847	10.26	10.36
1	34490.983	10.26	10.36
1	34537.977	10.26	10.37
1	34538.977	10.26	10.37
1	34557.78	10.26	10.36
1	34557.783	10.26	10.36
1	34557.98	10.26	10.35
1	34564.183	10.3	10.35
1	34564.517	10.3	10.36
1	34569.583	10.3	10.36
1	34615.73	10.3	10.35
1	34627.96	10.3	10.36
1	34627.977	10.3	10.35
1	34638.013	10.3	10.36
1	34656.937	10.3	10.35
1	34676.717	10.3	10.36
1	34686.103	10.3	10.35
1	34783.167	10.3	10.36
1	34787.433	10.3	10.36
1	34789.847	10.3	10.35
1	34842.027	10.3	10.35
1	34899.05	10.3	10.36
1	34901.047	10.3	10.36
1	34945.057	10.3	10.36
1	35009.523	10.3	10.36
1	35201.077	10.3	10.37
1	35201.12	10.3	10.37
1	35202.077	10.3	10.37
1	35227.103	10.3	10.37
1	35246.107	10.3	10.37
1	35274.987	10.3	10.37
1	35435.617	10.3	10.36
1	35435.62	10.3	10.36
1	35437.103	10.3	10.36
1	35454.017	10.3	10.36
1	35486.403	10.3	10.36
1	35509.267	10.3	10.36
1	35520.687	10.3	10.36
1	35520.69	10.3	10.36
1	35573.32	10.3	10.36
1	35576.017	10.3	10.36
1	35659.1	10.3	10.36
1	35659.277	10.3	10.35
1	35732.037	10.34	10.35
1	35732.07	10.34	10.35
1	35732.14	10.34	10.37
1	35732.41	10.34	10.37
1	35732.41	10.34	10.37
1	35746.14	10.3	10.37
1	35778.39	10.3	10.37
1	35779.55	10.3	10.37
1	35779.613	10.3	10.37
1	35933.283	10.3	10.37
1	35935.527	10.3	10.37
1	35966.14	10.3	10.37
1	35999.687	10.3	10.37
1	35999.687	10.3	10.37
1	35999.703	10.28	10.37
1	35999.703	10.27	10.37
1	36020.787	10.28	10.37
1	36034.247	10.28	10.37
1	36035.243	10.28	10.37
1	36062.217	10.28	10.37
